dd,mm,yy,hh,Rainfall (mm),Wind Dir. (Deg.),Av wind Speed m/s,Global Rad(W/Sq.M.),Air Temperature,Relative Humidity(%)
15,6,2016,00:00:00,0,164.15,1.553,-0.1,2.47,94.2
15,6,2016,01:00:00,0,169.34,1.798,-0.1,2.57,81
15,6,2016,02:00:00,0,163.78,1.263,-0.2,2.37,79.7
15,6,2016,03:00:00,0,169.36,1.347,-0.1,3.38,83.9
15,6,2016,04:00:00,0,155.18,1.402,-0.2,4.28,86.7
15,6,2016,05:00:00,0,153.17,1.438,-0.3,4.6,87.3
15,6,2016,06:00:00,0,145.44,1.216,-0.3,5.24,87
15,6,2016,07:00:00,0,121.3,1.386,14.3,5.06,87.4
15,6,2016,08:00:00,0,116.55,1.231,205.9,6.61,82.4
15,6,2016,09:00:00,0,66.53,1.748,381,8.85,72.7
15,6,2016,10:00:00,0,65.54,1.113,503.8,10.22,68.7
15,6,2016,11:00:00,0,54.58,1.582,580.7,11.11,65.1
15,6,2016,12:00:00,0,216.5,1.178,596.5,12.59,58.8
15,6,2016,13:00:00,0,183.05,1.174,546.8,13.3,55.4
15,6,2016,14:00:00,0,282.67,1.767,435.1,13.39,52.5
15,6,2016,15:00:00,0,207.47,1.35,274.7,13.44,55.4
15,6,2016,16:00:00,0,205.89,0.488,104.3,12.55,60.2
15,6,2016,17:00:00,0,214.69,0.392,1,9.63,70.2
15,6,2016,18:00:00,0,197.56,0.516,-0.8,7.88,80.6
15,6,2016,19:00:00,0,190.57,0.721,-0.7,7.02,84.4
15,6,2016,20:00:00,0,212.15,0.444,-0.7,6.73,83.2
15,6,2016,21:00:00,0,215.8,0.494,-0.5,6.02,86.8
15,6,2016,22:00:00,0,234.2,0.439,-0.5,5.65,90.5
15,6,2016,23:00:00,0,226.52,0.442,-0.5,5.68,92
16,6,2016,00:00:00,0,237.3,0.553,-0.6,5.76,91.9
16,6,2016,01:00:00,0,174.5,0.53,-0.5,5.53,93
16,6,2016,02:00:00,0,231.3,0.604,-0.5,5.09,94.1
16,6,2016,03:00:00,0,243.87,0.843,-0.4,4.7,94.2
16,6,2016,04:00:00,0,238.42,1.133,-0.3,4.49,94.7
16,6,2016,05:00:00,0,299.47,1.902,-0.4,4.62,95
16,6,2016,06:00:00,0,239.71,0.938,-0.4,4.69,94.9
16,6,2016,07:00:00,0,139.96,0.632,13.6,4.82,95
16,6,2016,08:00:00,0,247.85,0.515,200.5,6.05,95.1
16,6,2016,09:00:00,0,326.17,2.172,371.8,8.64,85.4
16,6,2016,10:00:00,0,310.54,4.065,490.5,10.74,72.3
16,6,2016,11:00:00,0,300.09,4.836,496.4,11.22,68.3
16,6,2016,12:00:00,0,295.68,4.222,427.3,11.39,68
16,6,2016,13:00:00,0,301.69,3.465,370,11.38,72.1
16,6,2016,14:00:00,0,326.76,3.042,253.3,11.26,73.3
16,6,2016,15:00:00,0,317.47,2.69,180.4,11.19,72.8
16,6,2016,16:00:00,0,320.58,2,45.7,10.27,76.9
16,6,2016,17:00:00,0,268.54,1.035,0.2,9.01,82.9
16,6,2016,18:00:00,0,165.9,0.343,-0.8,7.26,91.1
16,6,2016,19:00:00,0,165.12,0.491,-0.7,6.37,93
16,6,2016,20:00:00,0,284.89,0.553,-0.8,6.04,93.8
16,6,2016,21:00:00,0,326.68,1.57,-0.8,6.36,90.2
16,6,2016,22:00:00,0,319.73,2.685,-0.9,7.41,85.3
16,6,2016,23:00:00,0,315.86,2.441,-0.9,7.53,83.1
17,6,2016,00:00:00,0,318.35,2.496,-1.2,7.91,81.7
17,6,2016,01:00:00,0,321.67,2.491,-1.3,8.53,78.9
17,6,2016,02:00:00,0,318.02,2.605,-1.5,9.21,81.3
17,6,2016,03:00:00,0,326.64,3.53,-1.6,9.84,83.8
17,6,2016,04:00:00,0,312.72,4.3,-1.6,9.92,86.2
17,6,2016,05:00:00,0,324.55,4.231,-1.6,9.74,88.9
17,6,2016,06:00:00,0,318.25,4.707,-1.5,9.2,92.2
17,6,2016,07:00:00,0,322.85,3.858,0.3,8.8,93.8
17,6,2016,08:00:00,0,324.09,3.919,9.5,8.7,94.5
17,6,2016,09:00:00,0,292.93,5.09,33.4,9.16,94.8
17,6,2016,10:00:00,0,324.13,5.066,47.6,9.39,94.8
17,6,2016,11:00:00,0,324.78,5.539,61.1,9.69,94.9
17,6,2016,12:00:00,0,321.13,4.606,63.3,10.01,95
17,6,2016,13:00:00,0,321.03,4.818,57.5,10.19,95
17,6,2016,14:00:00,0,326.75,4.172,46.1,10.44,95
17,6,2016,15:00:00,0,316.06,4.368,22.6,10.52,95.1
17,6,2016,16:00:00,0,324.09,3.607,3.9,10.59,95.1
17,6,2016,17:00:00,0,316.39,3.435,-1.7,10.58,95.1
17,6,2016,18:00:00,0,327.73,3.133,-1.8,10.64,95.1
17,6,2016,19:00:00,0,305.61,3.485,-1.8,10.63,95.1
17,6,2016,20:00:00,0,322.47,2.27,-1.8,10.61,95.1
17,6,2016,21:00:00,0,332.56,2.332,-1.8,10.62,95.1
17,6,2016,22:00:00,0,308.07,1.318,-1.8,10.65,95.2
17,6,2016,23:00:00,0,191.56,1.011,-1.8,10.81,95.2
18,6,2016,00:00:00,0,283.84,3.184,-1.9,10.9,95.2
18,6,2016,01:00:00,0,316.41,3.919,-1.8,10.74,95.2
18,6,2016,02:00:00,0,312.54,3.036,-1.8,10.62,95.2
18,6,2016,03:00:00,0,338.05,4.502,-1.8,10.62,95.1
18,6,2016,04:00:00,0,324.65,3.64,-1.8,10.51,95.1
18,6,2016,05:00:00,0,333.72,2.804,-1.8,10.5,95.1
18,6,2016,06:00:00,0,328.75,3.709,-1.8,10.5,95.1
18,6,2016,07:00:00,0,314.75,2.968,1.1,10.53,95.1
18,6,2016,08:00:00,0,281.8,3.351,49.2,10.38,94.9
18,6,2016,09:00:00,0,277.89,3.379,81.7,10.25,94.1
18,6,2016,10:00:00,0,282.07,3.125,161.3,10.49,92.8
18,6,2016,11:00:00,0,292.03,2.121,260.4,10.72,91.5
18,6,2016,12:00:00,0,271.76,2.437,256.5,11.25,89
18,6,2016,13:00:00,0,291.84,2.348,165.2,11.31,88.6
18,6,2016,14:00:00,0,301.93,2.153,129.4,11.35,88.7
18,6,2016,15:00:00,0,308.64,1.596,70,10.94,90.9
18,6,2016,16:00:00,0,291.06,1.558,38.1,10.54,89.7
18,6,2016,17:00:00,0,148,0.531,-0.6,9.5,92.1
18,6,2016,18:00:00,0,171.04,0.857,-1.3,9,92.8
18,6,2016,19:00:00,0,149.45,0.715,-1.2,8.34,94.1
18,6,2016,20:00:00,0,136.91,0.742,-1.2,8.09,94.8
18,6,2016,21:00:00,0,159.64,0.992,-1.1,7.7,94.7
18,6,2016,22:00:00,0,143.05,1.057,-1.1,7.52,94.9
18,6,2016,23:00:00,0,156.02,1.005,-1.2,7.69,95
19,6,2016,00:00:00,0,166.14,0.953,-1.2,7.99,95.1
19,6,2016,01:00:00,0,136.73,1.241,-1.2,8.24,95.1
19,6,2016,02:00:00,0,99.38,1.254,-1.4,8.53,95.1
19,6,2016,03:00:00,0,141.7,1.226,-1.4,8.5,94.8
19,6,2016,04:00:00,0,103.23,1.02,-1.4,8.59,94.1
19,6,2016,05:00:00,0,91.35,1.033,-1.4,8.57,93.3
19,6,2016,06:00:00,0,100.03,1.715,-1.4,8.69,92.2
19,6,2016,07:00:00,0,117.09,1.89,1.3,8.99,90.2
19,6,2016,08:00:00,0,99.63,2.07,15,9.48,88.5
19,6,2016,09:00:00,0,119.73,3.005,43.9,9.66,90.2
19,6,2016,10:00:00,0,108.31,2.428,46.2,10.18,90.9
19,6,2016,11:00:00,0,101.14,2.544,56.6,10.14,92.8
19,6,2016,12:00:00,0,104.33,2.714,62.3,10.36,92.6
19,6,2016,13:00:00,0,103.35,4.507,42.4,10.37,92.6
19,6,2016,14:00:00,0,99.02,4.192,29.7,10.5,92.8
19,6,2016,15:00:00,0,80.73,4.146,14.9,10.7,93
19,6,2016,16:00:00,0,69.03,4.768,6.5,10.86,93.1
19,6,2016,17:00:00,0,90.29,2.694,-1.8,11.02,94
19,6,2016,18:00:00,0,77.03,1.716,-1.9,11.21,94.3
19,6,2016,19:00:00,0,197.36,1.935,-1.9,11.28,94.1
19,6,2016,20:00:00,0,250.23,3.101,-1.9,11.25,91.8
19,6,2016,21:00:00,0,333.61,4.743,-1.7,10.53,91.4
19,6,2016,22:00:00,0,310.5,4.612,-1.6,9.9,91.5
